bar_number,bar_number_global,tick_16th,onset_time_uncorrected,phase_uncorrected,phase_per_snippet_remapped,phase_per_snippet,phase_drum(L=8),phase_mel(L=8),phase_pitch(L=8),grid_time_uncorrected,grid_time_per_snippet,grid_time_drum(L=8),grid_time_mel(L=8),grid_time_pitch(L=8)
1,33,1,52.98793650793651,0.10597803515872894,0.10597803515872894,0.10597803515872894,,,,53.0184130625,53.0184130625,53.059591837000426,53.059591837000426,53.059591837000426
1,33,2,,,,,,,,53.118549125,53.118549125,53.15954648543793,53.15954648543793,53.15954648543793
1,33,3,,,,,,,,53.2186851875,53.2186851875,53.25950113387543,53.25950113387543,53.25950113387543
1,33,4,53.35945578231293,0.33786207442306637,0.33786207442306637,0.33786207442306637,0.312499999999999,0.312499999999999,0.312499999999999,53.31882125,53.31882125,53.35945578231293,53.35945578231293,53.35945578231293
1,33,5,,,,,,,,53.418957312500005,53.418957312500005,53.45941043075043,53.45941043075043,53.45941043075043
1,33,6,,,,,,,,53.519093375000004,53.519093375000004,53.55936507918793,53.55936507918793,53.55936507918793
1,33,7,,,,,,,,53.6192294375,53.6192294375,53.65931972762543,53.65931972762543,53.65931972762543
1,33,8,,,,,0.5883620692099757,0.5883620692099757,0.5883620692099757,53.7193655,53.7193655,53.759274376062926,53.759274376062926,53.759274376062926
1,33,9,53.80063492063492,0.6132243710494646,0.6132243710494646,0.6132243710494646,,,,53.8195015625,53.8195015625,53.85922902450043,53.85922902450043,53.85922902450043
1,33,10,,,,,,,,53.919637625,53.919637625,53.959183672937925,53.959183672937925,53.959183672937925
1,33,11,54.00961451247166,0.7436591431356557,0.7436591431356557,0.7436591431356557,0.719033575677862,0.719033575677862,0.719033575677862,54.0197736875,54.0197736875,54.05913832137543,54.05913832137543,54.05913832137543
1,33,12,,,,,0.8206669695973267,0.8206669695973267,0.8206669695973267,54.119909750000005,54.119909750000005,54.159092969812924,54.159092969812924,54.159092969812924
1,33,13,54.17215419501134,0.8451084103138019,0.8451084103138019,0.8451084103138019,,,,54.220045812500004,54.220045812500004,54.25904761825043,54.25904761825043,54.25904761825043
1,33,14,,,,,,,,54.320181875,54.320181875,54.35900226668793,54.35900226668793,54.35900226668793
1,33,15,,,,,,,,54.4203179375,54.4203179375,54.45895691512543,54.45895691512543,54.45895691512543
2,34,0,,,,,,,,54.520454,54.520454,54.55891156356293,54.55891156356293,54.55891156356293
2,34,1,54.61333333333334,0.12047074312268813,0.12047074312268813,0.12047074312268813,0.09652903880730725,0.09652903880730725,0.09652903880730725,54.62059,54.62059,54.658866212000426,54.658866212000426,54.658866212000426
2,34,2,,,,,,,,54.720726,54.720726,54.75882086043793,54.75882086043793,54.75882086043793
2,34,3,,,,,,,,54.820862,54.820862,54.858775508875425,54.858775508875425,54.858775508875425
2,34,4,,,,,0.3288339391946537,0.3288339391946537,0.3288339391946537,54.920998,54.920998,54.95873015731293,54.95873015731293,54.95873015731293
2,34,5,54.98485260770975,0.35235492711771155,0.35235492711771155,0.35235492711771155,,,,55.021134,55.021134,55.058684805750424,55.058684805750424,55.058684805750424
2,34,6,,,,,,,,55.12127,55.12127,55.15863945418793,55.15863945418793,55.15863945418793
2,34,7,,,,,,,,55.221406,55.221406,55.25859410262543,55.25859410262543,55.25859410262543
2,34,8,,,,,0.5901769521304263,0.5901769521304263,0.5901769521304263,55.321542,55.321542,55.358548751062926,55.358548751062926,55.358548751062926
2,34,9,55.40281179138322,0.6132246341121206,0.6132246341121206,0.6132246341121206,,,,55.421678,55.421678,55.45850339950043,55.45850339950043,55.45850339950043
2,34,10,,,,,0.7063294023240995,0.7063294023240995,0.7063294023240995,55.521814,55.521814,55.558458047937926,55.558458047937926,55.558458047937926
2,34,11,55.58857142857143,0.7291667261096323,0.7291667261096323,0.7291667261096323,,,,55.62195,55.62195,55.65841269637543,55.65841269637543,55.65841269637543
2,34,12,,,,,0.8224818525177772,0.8224818525177772,0.8224818525177772,55.722086000000004,55.722086000000004,55.758367344812925,55.758367344812925,55.758367344812925
2,34,13,55.77433106575964,0.8451088181071484,0.8451088181071484,0.8451088181071484,,,,55.822222000000004,55.822222000000004,55.85832199325043,55.85832199325043,55.85832199325043
2,34,14,,,,,,,,55.922358,55.922358,55.958276641687924,55.958276641687924,55.958276641687924
2,34,15,,,,,,,,56.022494,56.022494,56.05823129012543,56.05823129012543,56.05823129012543
3,35,0,,,,,,,,56.12263,56.12263,56.15818593856293,56.15818593856293,56.15818593856293
3,35,1,,,,,,,,56.2213148125,56.2213148125,56.258140587000426,56.258140587000426,56.258140587000426
3,35,2,,,,,,,,56.319999625,56.319999625,56.35809523543793,56.35809523543793,56.35809523543793
3,35,3,,,,,,,,56.418684437500005,56.418684437500005,56.458049883875425,56.458049883875425,56.458049883875425
3,35,4,56.563809523809525,0.34191199399953454,0.34191199399953454,0.34191199399953454,0.31612976584089564,0.31612976584089564,0.31612976584089564,56.51736925,56.51736925,56.55800453231293,56.55800453231293,56.55800453231293
3,35,5,,,,,,,,56.6160540625,56.6160540625,56.657959180750424,56.657959180750424,56.657959180750424
3,35,6,,,,,,,,56.714738875,56.714738875,56.75791382918793,56.75791382918793,56.75791382918793
3,35,7,,,,,,,,56.813423687500006,56.813423687500006,56.85786847762542,56.85786847762542,56.85786847762542
3,35,8,,,,,,,,56.9121085,56.9121085,56.95782312606293,56.95782312606293,56.95782312606293
3,35,9,,,,,,,,57.0107933125,57.0107933125,57.05777777450043,57.05777777450043,57.05777777450043
3,35,10,,,,,0.7081442852445501,0.7081442852445501,0.7081442852445501,57.109478125,57.109478125,57.157732422937926,57.157732422937926,57.157732422937926
3,35,11,57.19074829931973,0.7389707964306352,0.7389707964306352,0.7389707964306352,,,,57.208162937500006,57.208162937500006,57.25768707137543,57.25768707137543,57.25768707137543
3,35,12,,,,,0.8388157917124319,0.8388157917124319,0.8388157917124319,57.30684775,57.30684775,57.357641719812925,57.357641719812925,57.357641719812925
3,35,13,57.39972789115646,0.8713237305743324,0.8713237305743324,0.8713237305743324,,,,57.4055325625,57.4055325625,57.45759636825043,57.45759636825043,57.45759636825043
3,35,14,,,,,,,,57.504217375,57.504217375,57.557551016687924,57.557551016687924,57.557551016687924
3,35,15,,,,,,,,57.60290218750001,57.60290218750001,57.65750566512543,57.65750566512543,57.65750566512543
4,36,0,,,,,,,,57.701587,57.701587,57.75746031356292,57.75746031356292,57.75746031356292
4,36,1,,,,,,,,57.8017230625,57.8017230625,57.857414962000426,57.857414962000426,57.857414962000426
4,36,2,,,,,,,,57.901859125,57.901859125,57.95736961043793,57.95736961043793,57.95736961043793
4,36,3,,,,,,,,58.0019951875,58.0019951875,58.057324258875425,58.057324258875425,58.057324258875425
4,36,4,,,,,0.3324637050355592,0.3324637050355592,0.3324637050355592,58.10213125,58.10213125,58.15727890731293,58.15727890731293,58.15727890731293
4,36,5,58.18920634920635,0.3668479897703866,0.3668479897703866,0.3668479897703866,,,,58.202267312500005,58.202267312500005,58.257233555750425,58.257233555750425,58.257233555750425
4,36,6,,,,,,,,58.302403375000004,58.302403375000004,58.35718820418793,58.35718820418793,58.35718820418793
4,36,7,,,,,,,,58.4025394375,58.4025394375,58.457142852625424,58.457142852625424,58.457142852625424
4,36,8,,,,,,,,58.5026755,58.5026755,58.55709750106293,58.55709750106293,58.55709750106293
4,36,9,58.60716553287982,0.6277175339427645,0.6277175339427645,0.6277175339427645,0.5938067179713273,0.5938067179713273,0.5938067179713273,58.6028115625,58.6028115625,58.65705214950042,58.65705214950042,58.65705214950042
4,36,10,,,,,0.7099591681649962,0.7099591681649962,0.7099591681649962,58.702947625,58.702947625,58.757006797937926,58.757006797937926,58.757006797937926
4,36,11,58.79292517006802,0.7436595535749265,0.7436595535749265,0.7436595535749265,,,,58.8030836875,58.8030836875,58.85696144637543,58.85696144637543,58.85696144637543
4,36,12,,,,,0.8261116183586827,0.8261116183586827,0.8261116183586827,58.903219750000005,58.903219750000005,58.956916094812925,58.956916094812925,58.956916094812925
4,36,13,58.97868480725624,0.8596015732071063,0.8596015732071063,0.8596015732071063,,,,59.003355812500004,59.003355812500004,59.05687074325043,59.05687074325043,59.05687074325043
4,36,14,,,,,,,,59.103491875,59.103491875,59.156825391687924,59.156825391687924,59.156825391687924
4,36,15,,,,,,,,59.2036279375,59.2036279375,59.25678004012543,59.25678004012543,59.25678004012543
5,37,0,,,,,0.08745463129444137,0.08745463129444137,0.08745463129444137,59.303764,59.303764,59.35673468856292,59.35673468856292,59.35673468856292
5,37,1,59.3966439909297,0.12047111737947537,0.12047111737947537,0.12047111737947537,,,,59.4039000625,59.4039000625,59.45668933700043,59.45668933700043,59.45668933700043
5,37,2,,,,,,,,59.504036125,59.504036125,59.55664398543792,59.55664398543792,59.55664398543792
5,37,3,,,,,,,,59.6041721875,59.6041721875,59.656598633875426,59.656598633875426,59.656598633875426
5,37,4,,,,,0.3197595316817967,0.3197595316817967,0.3197595316817967,59.70430825,59.70430825,59.75655328231293,59.75655328231293,59.75655328231293
5,37,5,59.76816326530612,0.3523551566438172,0.3523551566438172,0.3523551566438172,,,,59.8044443125,59.8044443125,59.856507930750425,59.856507930750425,59.856507930750425
5,37,6,,,,,,,,59.904580375,59.904580375,59.95646257918793,59.95646257918793,59.95646257918793
5,37,7,,,,,,,,60.0047164375,60.0047164375,60.056417227625424,60.056417227625424,60.056417227625424
5,37,8,,,,,,,,60.1048525,60.1048525,60.15637187606293,60.15637187606293,60.15637187606293
5,37,9,,,,,,,,60.2049885625,60.2049885625,60.25632652450042,60.25632652450042,60.25632652450042
5,37,10,,,,,,,,60.305124625,60.305124625,60.356281172937926,60.356281172937926,60.356281172937926
5,37,11,,,,,,,,60.4052606875,60.4052606875,60.45623582137542,60.45623582137542,60.45623582137542
