# time_signature=4
# dominant_major=normal
# factor2_orientation=
# filter_percent=±10.000%
# base_avg_corrected=118.02
# avg_kept_corrected=118.02
# usable_base_bpm=117.45
# usable_count=105
# total_bars=105
# bpm_charts_threshold=135.0
# double_bpm_chart_adjusted=True
corrected_bar_num	bar_num	corrected_downbeat_time(s)	next_downbeat_time(s)	duration_s	tempo_bpm	usable	bpm_threshold	action	removed_downbeat_time(s)	inserted_downbeat_time(s)
56	56	111.943401	113.963537	2.020136	118.80	1	none	unchanged		
57	57	113.963537	116.006893	2.043356	117.45	1	none	unchanged		
58	58	116.006893	118.050249	2.043356	117.45	1	none	unchanged		
59	59	118.050249	120.070385	2.020136	118.80	1	none	unchanged		
60	60	120.070385	122.113741	2.043356	117.45	1	none	unchanged		
61	61	122.113741	124.133878	2.020137	118.80	1	none	unchanged		
62	62	124.133878	126.177234	2.043356	117.45	1	none	unchanged		
63	63	126.177234	128.197370	2.020136	118.80	1	none	unchanged		
64	64	128.197370	130.240726	2.043356	117.45	1	none	unchanged		
65	65	130.240726	132.284082	2.043356	117.45	1	none	unchanged		
66	66	132.284082	134.304218	2.020136	118.80	1	none	unchanged		
67	67	134.304218	136.347574	2.043356	117.45	1	none	unchanged		
68	68	136.347574	138.367710	2.020136	118.80	1	none	unchanged		
69	69	138.367710	140.411066	2.043356	117.45	1	none	unchanged		
70	70	140.411066	142.454422	2.043356	117.45	1	none	unchanged		
71	71	142.454422	144.474558	2.020136	118.80	1	none	unchanged		
72	72	144.474558	146.517914	2.043356	117.45	1	none	unchanged		
73	73	146.517914	148.538050	2.020136	118.80	1	none	unchanged		
74	74	148.538050	150.581406	2.043356	117.45	1	none	unchanged		
75	75	150.581406	152.624762	2.043356	117.45	1	none	unchanged		
76	76	152.624762	154.644898	2.020136	118.80	1	none	unchanged		
77	77	154.644898	156.688254	2.043356	117.45	1	none	unchanged		
78	78	156.688254	158.708390	2.020136	118.80	1	none	unchanged		
79	79	158.708390	160.751746	2.043356	117.45	1	none	unchanged		
80	80	160.751746	162.795102	2.043356	117.45	1	none	unchanged		
81	81	162.795102	164.815238	2.020136	118.80	1	none	unchanged		
82	82	164.815238	166.858594	2.043356	117.45	1	none	unchanged		
83	83	166.858594	168.878730	2.020136	118.80	1	none	unchanged		
84	84	168.878730	170.922086	2.043356	117.45	1	none	unchanged		
85	85	170.922086	172.942222	2.020136	118.80	1	none	unchanged		
86	86	172.942222	174.985578	2.043356	117.45	1	none	unchanged		
87	87	174.985578	177.028934	2.043356	117.45	1	none	unchanged		
88	88	177.028934	179.072290	2.043356	117.45	1	none	unchanged		
89	89	179.072290	181.092426	2.020136	118.80	1	none	unchanged		
90	90	181.092426	183.112562	2.020136	118.80	1	none	unchanged		
91	91	183.112562	185.155918	2.043356	117.45	1	none	unchanged		
92	92	185.155918	187.199274	2.043356	117.45	1	none	unchanged		
93	93	187.199274	189.219410	2.020136	118.80	1	none	unchanged		
94	94	189.219410	191.262766	2.043356	117.45	1	none	unchanged		
95	95	191.262766	193.282902	2.020136	118.80	1	none	unchanged		
96	96	193.282902	195.326259	2.043357	117.45	1	none	unchanged		
97	97	195.326259	197.369615	2.043356	117.45	1	none	unchanged		
98	98	197.369615	199.389751	2.020136	118.80	1	none	unchanged		
99	99	199.389751	201.433107	2.043356	117.45	1	none	unchanged		
100	100	201.433107	203.476463	2.043356	117.45	1	none	unchanged		
101	101	203.476463	205.496599	2.020136	118.80	1	none	unchanged		
102	102	205.496599	207.539955	2.043356	117.45	1	none	unchanged		
103	103	207.539955	209.560091	2.020136	118.80	1	none	unchanged		
104	104	209.560091	211.580227	2.020136	118.80	1	none	unchanged		
105	105	211.580227	213.600363	2.020136	118.80	1	none	unchanged		
